date,weekday,close,rsi,rsi_sma,rsi_rainy,sma_rainy,both_rainy,only_rsi,only_sma,neither
2003-01-15,Wednesday,60.69417190551758,,,False,False,False,False,False,True
2003-02-03,Monday,56.64131164550781,26.776011126176257,25.09986090523594,True,True,True,False,False,False
2003-03-03,Monday,55.23564147949219,50.29999425348404,47.398976085580344,False,False,False,False,False,True
2003-03-17,Monday,57.002601623535156,57.1875194245561,43.55838046620572,False,True,False,False,True,False
2003-04-01,Tuesday,56.74436569213867,65.63632334390235,64.2858768356297,False,False,False,False,False,True
2003-04-15,Tuesday,59.210941314697266,61.49920948246598,52.171262496476416,False,False,False,False,False,True
2003-05-01,Thursday,60.60912322998047,67.57392076311041,65.1025975174961,False,False,False,False,False,True
2003-05-15,Thursday,62.72617721557617,76.18046660113001,67.86368273165611,False,False,False,False,False,True
2003-06-02,Monday,64.2034683227539,63.706991019607415,59.964263407729,False,False,False,False,False,True
2003-06-16,Monday,67.04595184326172,76.84385141443215,79.49372879893261,False,False,False,False,False,True
2003-07-01,Tuesday,65.21643829345703,43.44800082334174,47.302658179977826,True,False,False,True,False,False
2003-07-15,Tuesday,66.52694702148438,57.95339375020731,51.887819313806474,False,False,False,False,False,True
2003-08-01,Friday,65.20316314697266,39.00955115614754,45.73832920708877,True,False,False,True,False,False
2003-08-15,Friday,65.93791961669922,48.522403844106435,48.1822401755799,False,False,False,False,False,True
2003-09-15,Monday,67.57274627685547,64.43808528769534,65.75359574281192,False,False,False,False,False,True
2003-10-01,Wednesday,67.82552337646484,50.83970651389308,42.97811521110794,False,True,False,False,True,False
2003-10-15,Wednesday,69.75900268554688,78.00185958622158,61.02647677411244,False,False,False,False,False,True
2003-11-03,Monday,70.42343139648438,55.02771928867991,52.852541481112716,False,False,False,False,False,True
2003-11-17,Monday,69.71914672851562,49.06935356015978,61.84748691595087,False,False,False,False,False,True
2003-12-01,Monday,71.4931869506836,62.8721083349824,49.619714173944196,False,False,False,False,False,True
2003-12-15,Monday,71.4931869506836,64.05560444784192,66.47986306613818,False,False,False,False,False,True
2004-01-15,Thursday,75.95661926269531,77.51332949359262,81.31614928877994,False,False,False,False,False,True
2004-02-02,Monday,76.08346557617188,54.42725410665566,59.458157987994795,False,False,False,False,False,True
2004-03-01,Monday,77.54547119140625,61.7980035024583,58.3890715234316,False,False,False,False,False,True
2004-03-15,Monday,74.23428344726562,36.07007184450127,40.14466651908863,True,True,True,False,False,False
2004-04-01,Thursday,76.22289276123047,57.394277982441764,44.73168845475794,False,True,False,False,True,False
2004-04-15,Thursday,75.67355346679688,62.500163421716636,68.9589876828779,False,False,False,False,False,True
2004-05-03,Monday,75.13095092773438,45.009576345889464,42.21412753994829,False,True,False,False,True,False
2004-05-17,Monday,73.08768463134766,28.964111598747238,33.60445585845481,True,True,True,False,False,False
2004-06-01,Tuesday,75.50607299804688,71.63707686134389,55.81293715435917,False,False,False,False,False,True
2004-06-15,Tuesday,76.38368225097656,67.77275690987051,73.77670221681355,False,False,False,False,False,True
2004-07-01,Thursday,75.93635559082031,43.99437319535048,53.66104302369138,True,False,False,True,False,False
2004-07-15,Thursday,74.49748992919922,25.24103023207769,35.462335228585935,True,True,True,False,False,False
2004-08-02,Monday,74.67904663085938,45.526696917475945,38.48317349778704,False,True,False,False,True,False
2004-08-16,Monday,72.81659698486328,42.47683800599535,38.732377285992676,True,True,True,False,False,False
2004-09-01,Wednesday,74.84710693359375,79.40318610304327,68.15403916400112,False,False,False,False,False,True
2004-09-15,Wednesday,75.84220123291016,62.24739382365636,70.42748001883749,False,False,False,False,False,True
2004-10-01,Friday,76.73180389404297,53.68610980363759,46.05187931349224,False,False,False,False,False,True
2004-10-15,Friday,75.11817932128906,52.637145100825485,51.26221169459367,False,False,False,False,False,True
2004-11-01,Monday,76.63726806640625,54.95947214861089,43.30686555578289,False,True,False,False,True,False
2004-11-15,Monday,80.3991928100586,94.9889249444225,86.47431121208699,False,False,False,False,False,True
2004-12-01,Wednesday,80.73774719238281,65.87684622872985,64.72016911481784,False,False,False,False,False,True
2004-12-15,Wednesday,81.85504913330078,69.80553685873986,61.963777120083705,False,False,False,False,False,True
2005-01-03,Monday,81.84712219238281,55.10254475299026,70.08652815286823,False,False,False,False,False,True
2005-02-01,Tuesday,80.90143585205078,54.309351889362844,43.42203288999097,False,True,False,False,True,False
2005-02-15,Tuesday,82.41182708740234,78.59287443108573,70.73942430848264,False,False,False,False,False,True
2005-03-01,Tuesday,82.47984313964844,55.02944445366024,55.19970437339471,False,False,False,False,False,True
2005-03-15,Tuesday,81.7382583618164,53.538399608959416,55.48192062432661,False,False,False,False,False,True
2005-04-01,Friday,80.20831298828125,35.497698005979856,27.91376875330439,True,True,True,False,False,False
2005-04-15,Friday,77.96797180175781,36.2370958482929,48.918338313030844,True,False,False,True,False,False
2005-05-02,Monday,79.5047836303711,42.83938767987425,40.57072569710478,True,True,True,False,False,False
2005-05-16,Monday,79.77801513671875,57.40752232433741,56.22070497280311,False,False,False,False,False,True
2005-06-01,Wednesday,82.30522918701172,68.27389300741333,64.54286949622326,False,False,False,False,False,True
2005-06-15,Wednesday,82.70823669433594,64.84095941396336,61.91827693925567,False,False,False,False,False,True
2005-07-01,Friday,81.9721908569336,45.68802668092365,48.33297253505257,False,False,False,False,False,True
2005-07-15,Friday,84.24214172363281,74.24629734968924,56.657277798517846,False,False,False,False,False,True
2005-08-01,Monday,84.79763793945312,60.70876980066063,70.49577128254342,False,False,False,False,False,True
